ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité
2000;0;Bulgari 0BV5031TG 408087;82,68;1069;1;666.67;0BV5031TG 408087;3;30;8,05367E+12;10
2001;0;Bulgari 0BV8141K 523513;82,69;379;1;236;0BV8141K 523513;3;30;8,05367E+12;10
2002;0;Bulgari 0BV8141K 53198G;82,69;379;1;236;0BV8141K 53198G;3;30;8,05367E+12;10
2003;0;Bulgari 0BV6077B 278/13;82,69;179;1;110.33;0BV6077B 278/13;3;30;8,05367E+12;10
2004;0;Bulgari 0BV8169Q 901/8G;82,69;199;1;127;0BV8169Q 901/8G;3;30;8,05367E+12;10
2005;0;Bulgari 0BV8170 504/13;82,69;169;1;106.17;0BV8170 504/13;3;30;8,05367E+12;10
2006;0;Bulgari 0BV8179KB 5190T3;82,69;439;1;275;0BV8179KB 5190T3;3;30;8,05367E+12;10
2007;0;Bulgari 0BV8185B 504/13;82,69;219;1;135.33;0BV8185B 504/13;3;30;8,05367E+12;10
2008;0;Bulgari 0BV6086B 278/T5;82,69;209;1;131.17;0BV6086B 278/T5;3;30;8,05367E+12;10
2009;0;Bulgari 0BV8187KB 5193T5;82,69;539;1;340;0BV8187KB 5193T5;3;30;8,05367E+12;10
2010;0;Bulgari 0BV8187KB 5425T3;82,69;539;1;340;0BV8187KB 5425T3;3;30;8,05367E+12;10
2011;0;Bulgari 0BV8188B 54308G;82,69;219;1;135.33;0BV8188B 54308G;3;30;8,05367E+12;10
2012;0;Bulgari 0BV6089 202255;82,69;189;1;118.67;0BV6089 202255;3;30;8,05367E+12;10
2013;0;Bulgari 0BV6089 128/T9;82,69;189;1;118.67;0BV6089 128/T9;3;30;8,05367E+12;10
2014;0;Bulgari 0BV8191 11171A;82,69;219;1;135.33;0BV8191 11171A;3;30;8,05367E+12;10
2015;0;Bulgari 0BV6091B 278/13;82,69;169;1;106.17;0BV6091B 278/13;3;30;8,05367E+12;10
2016;0;Bulgari 0BV5041 400/6G;82,68;189;1;118.67;0BV5041 400/6G;3;30;8,05367E+12;10
2017;0;Bulgari 0BV6094B 20148G;82,69;239;1;147.83;0BV6094B 20148G;3;30;8,05367E+12;10
2018;0;Bulgari 0BV8196B 54313B;82,69;239;1;147.83;0BV8196B 54313B;3;30;8,05367E+12;10
2019;0;Bulgari 0BV8197 543690;82,69;189;1;118.67;0BV8197 543690;3;30;8,05367E+12;10
2020;0;Bulgari 0BV5043TK 203983;82,68;659;1;415;0BV5043TK 203983;3;30;8,05367E+12;10
2021;0;Bulgari 0BV6097KB 2041T5;82,69;539;1;340;0BV6097KB 2041T5;3;30;8,05367E+12;10
2022;0;Bulgari 0BV6097KB 204281;82,69;539;1;340;0BV6097KB 204281;3;30;8,05367E+12;10
2023;0;Bulgari 0BV8195KB 5431T5;82,69;539;1;340;0BV8195KB 5431T5;3;30;8,05367E+12;10
2024;0;Bulgari 0BV8203 54448G;82,69;219;1;135.33;0BV8203 54448G;3;30;8,05367E+12;10
2025;0;Bulgari 0BV8203 544584;82,69;219;1;135.33;0BV8203 544584;3;30;8,05367E+12;10
2026;0;Bulgari 0BV8206 504/13;82,69;219;1;135.33;0BV8206 504/13;3;30;8,05367E+12;10
2027;0;Bulgari 0BV5045 195/87;82,68;169;1;106.17;0BV5045 195/87;3;30;8,05367E+12;10
2028;0;Bulgari 0BV6107 20486F;82,69;219;1;135.33;0BV6107 20486F;3;30;8,05367E+12;10
2029;0;Bulgari 0BV6108 278/8G;82,69;219;1;135.33;0BV6108 278/8G;3;30;8,05367E+12;10
2030;0;Bulgari 0BV8208 545413;82,69;219;1;135.33;0BV8208 545413;3;30;8,05367E+12;10
2031;0;Bulgari 0BV5026K 390/81;82,68;519;1;325;0BV5026K 390/81;3;30;6,79421E+11;10
2032;0;Bulgari 0BV8134K 5324T3;82,69;419;1;265;0BV8134K 5324T3;3;30;8,05367E+12;10
2033;0;Bulgari 0BV8150B 504/13;82,69;169;1;108.33;0BV8150B 504/13;3;30;8,05367E+12;10
2034;0;Bulgari 0BV8175B 501/8G;82,69;189;1;118.67;0BV8175B 501/8G;3;30;8,05367E+12;10
2035;0;Bulgari 0BV8177 501/8G;82,69;169;1;106.17;0BV8177 501/8G;3;30;8,05367E+12;10
2036;0;Bulgari 0BV5038 201387;82,68;169;1;106.17;0BV5038 201387;3;30;8,05367E+12;10
2037;0;Bulgari 0BV7027 501/87;82,68;169;1;106.17;0BV7027 501/87;3;30;8,05367E+12;10
2038;0;Bulgari 0BV8179KB 5193T5;82,69;439;1;275;0BV8179KB 5193T5;3;30;8,05367E+12;10
2039;0;Bulgari 0BV8181B 54205A;82,69;259;1;160.33;0BV8181B 54205A;3;30;8,05367E+12;10
2040;0;Bulgari 0BV8180B 504/T5;82,69;259;1;160.33;0BV8180B 504/T5;3;30;8,05367E+12;10
2041;0;Bulgari 0BV8184B 51454L;82,69;199;1;127;0BV8184B 51454L;3;30;8,05367E+12;10
2042;0;Bulgari 0BV8184B 54261A;82,69;199;1;127;0BV8184B 54261A;3;30;8,05367E+12;10
2043;0;Bulgari 0BV8185B 54215A;82,69;219;1;135.33;0BV8185B 54215A;3;30;8,05367E+12;10
2044;0;Bulgari 0BV7030 501/81;82,68;209;1;131.17;0BV7030 501/81;3;30;8,05367E+12;10
2045;0;Bulgari 0BV8187KB 5417T3;82,69;539;1;340;0BV8187KB 5417T3;3;30;8,05367E+12;10
2046;0;Bulgari 0BV6087B 278/13;82,69;219;1;135.33;0BV6087B 278/13;3;30;8,05367E+12;10
2047;0;Bulgari 0BV8189 501/8G;82,69;199;1;127;0BV8189 501/8G;3;30;8,05367E+12;10
2048;0;Bulgari 0BV6089 20294Z;82,69;189;1;118.67;0BV6089 20294Z;3;30;8,05367E+12;10
2049;0;Bulgari 0BV6095 203013;82,69;219;1;135.33;0BV6095 203013;3;30;8,05367E+12;10
2050;0;Bulgari 0BV8194BF 501/8G;82,69;189;1;118.67;0BV8194BF 501/8G;3;30;8,05367E+12;10
2051;0;Bulgari 0BV6093 128/87;82,69;199;1;127;0BV6093 128/87;3;30;8,05367E+12;10
2052;0;Bulgari 0BV6093 20321A;82,69;199;1;127;0BV6093 20321A;3;30;8,05367E+12;10
2053;0;Bulgari 0BV6092B 239/6F;82,69;239;1;147.83;0BV6092B 239/6F;3;30;8,05367E+12;10
2054;0;Bulgari 0BV6092B 278/13;82,69;239;1;147.83;0BV6092B 278/13;3;30;8,05367E+12;10
2055;0;Bulgari 0BV5042 202273;82,68;189;1;118.67;0BV5042 202273;3;30;8,05367E+12;10
2056;0;Bulgari 0BV8193B 504/13;82,69;189;1;118.67;0BV8193B 504/13;3;30;8,05367E+12;10
2057;0;Bulgari 0BV8193B 54315A;82,69;189;1;118.67;0BV8193B 54315A;3;30;8,05367E+12;10
2058;0;Bulgari 0BV5044 195/81;82,68;189;1;118.67;0BV5044 195/81;3;30;8,05367E+12;10
2059;0;Bulgari 0BV6099 20188G;82,69;219;1;135.33;0BV6099 20188G;3;30;8,05367E+12;10
2060;0;Bulgari 0BV6099 202290;82,69;219;1;135.33;0BV6099 202290;3;30;8,05367E+12;10
2061;0;Bulgari 0BV6099 203613;82,69;219;1;135.33;0BV6099 203613;3;30;8,05367E+12;10
2062;0;Bulgari 0BV8199B 501/8G;82,69;219;1;135.33;0BV8199B 501/8G;3;30;8,05367E+12;10
2063;0;Bulgari 0BV6098 20134Z;82,69;219;1;135.33;0BV6098 20134Z;3;30;8,05367E+12;10
2064;0;Bulgari 0BV6098 2032H5;82,69;219;1;135.33;0BV6098 2032H5;3;30;8,05367E+12;10
2065;0;Bulgari 0BV8196B 54268H;82,69;239;1;147.83;0BV8196B 54268H;3;30;8,05367E+12;10
2066;0;Bulgari 0BV8202B 54128G;82,69;239;1;147.83;0BV8202B 54128G;3;30;8,05367E+12;10
2067;0;Bulgari 0BV8202B 5443T5;82,69;259;1;160.33;0BV8202B 5443T5;3;30;8,05367E+12;10
2068;0;Bulgari 0BV8202B 54268G;82,69;239;1;147.83;0BV8202B 54268G;3;30;8,05367E+12;10
2069;0;Bulgari 0BV7032 541173;82,68;189;1;118.67;0BV7032 541173;3;30;8,05367E+12;10
2070;0;Bulgari 0BV8204B 501/8G;82,69;219;1;135.33;0BV8204B 501/8G;3;30;8,05367E+12;10
2071;0;Bulgari 0BV8205KB 5193T5;82,69;539;1;340;0BV8205KB 5193T5;3;30;8,05367E+12;10
2072;0;Bulgari 0BV6107 205011;82,69;219;1;135.33;0BV6107 205011;3;30;8,05367E+12;10
2073;0;Bulgari 0BV5046TK 200681;82,68;659;1;415;0BV5046TK 200681;3;30;8,05367E+12;10
2074;0;Bulgari 0BV8120B 504/13;82,69;169;1;106.17;0BV8120B 504/13;3;30;8,05367E+12;10
2075;0;Bulgari 0BV6062K 393/3B;82,69;379;1;240;0BV6062K 393/3B;3;30;6,79421E+11;10
2076;0;Bulgari 0BV8134K 504/13;82,69;399;1;250;0BV8134K 504/13;3;30;8,05367E+12;10
2077;0;Bulgari 0BV8141K 51958G;82,69;439;1;275;0BV8141K 51958G;3;30;8,05367E+12;10
2078;0;Bulgari 0BV8141K 5190T3;82,69;439;1;275;0BV8141K 5190T3;3;30;8,05367E+12;10
2079;0;Bulgari 0BV6075 2005T3;82,69;249;1;154.17;0BV6075 2005T3;3;30;8,05367E+12;10
2080;0;Bulgari 0BV5036K 393/83;82,68;319;1;202;0BV5036K 393/83;3;30;8,05367E+12;10
2081;0;Bulgari 0BV8163B 53528G;82,69;169;1;106.17;0BV8163B 53528G;3;30;8,05367E+12;10
2082;0;Bulgari 0BV8170 501/8G;82,69;169;1;106.17;0BV8170 501/8G;3;30;8,05367E+12;10
2083;0;Bulgari 0BV8170 54158H;82,69;169;1;106.17;0BV8170 54158H;3;30;8,05367E+12;10
2084;0;Bulgari 0BV6082 278/13;82,69;159;1;97.83;0BV6082 278/13;3;30;8,05367E+12;10
2085;0;Bulgari 0BV6082 376/8H;82,69;159;1;97.83;0BV6082 376/8H;3;30;8,05367E+12;10
2086;0;Bulgari 0BV6083 203290;82,69;169;1;106.17;0BV6083 203290;3;30;8,05367E+12;10
2087;0;Bulgari 0BV6083 20374Z;82,69;169;1;106.17;0BV6083 20374Z;3;30;8,05367E+12;10
2088;0;Bulgari 0BV7027 504/73;82,68;169;1;106.17;0BV7027 504/73;3;30;8,05367E+12;10
2089;0;Bulgari 0BV7027 526271;82,68;169;1;106.17;0BV7027 526271;3;30;8,05367E+12;10
2090;0;Bulgari 0BV7027 531381;82,68;189;1;118.67;0BV7027 531381;3;30;8,05367E+12;10
2091;0;Bulgari 0BV7028K 538881;82,68;319;1;202;0BV7028K 538881;3;30;8,05367E+12;10
2092;0;Bulgari 0BV8180B 541313;82,69;239;1;147.83;0BV8180B 541313;3;30;8,05367E+12;10
