ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;Référence fournisseur;Fabricant;EAN-13
1164;0;Bulgari 0BV5031TG 408087;82,68;1069;1;666.67;0BV5031TG 408087;3;30;8053672289961
1165;0;Bulgari 0BV8141K 523513;82,69;379;1;236;0BV8141K 523513;3;30;8053672289374
1166;0;Bulgari 0BV8141K 53198G;82,69;379;1;236;0BV8141K 53198G;3;30;8053672289381
1167;0;Bulgari 0BV6077B 278/13;82,69;179;1;110.33;0BV6077B 278/13;3;30;8053672415025
1168;0;Bulgari 0BV8169Q 901/8G;82,69;199;1;127;0BV8169Q 901/8G;3;30;8053672471878
1169;0;Bulgari 0BV8170 504/13;82,69;169;1;106.17;0BV8170 504/13;3;30;8053672547054
