Id;Caracteristique
1446;Longueur des branches:140mm,Largeur d'un verre:58mm,Largeur du pont:16mm,Largeur totale:272mm,Hauteur d'un verre:52.6mm,Matière:Métal,Forme:Ovale,Genre:Femme,Couleur:gris_606060
1746;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:44.3mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1510;Longueur des branches:142mm,Largeur d'un verre:60mm,Largeur du pont:17mm,Largeur totale:279mm,Hauteur d'un verre:48mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:Gris_606060
1690;Longueur des branches:135mm,Largeur d'un verre:56mm,Largeur du pont:18mm,Largeur totale:265mm,Hauteur d'un verre:46.8mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
1454;Longueur des branches:140mm,,Largeur du pont:16mm,Largeur totale:156mm,Hauteur d'un verre:mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1754;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:49.7mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:Gris_606060
1518;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:266mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:Gris_606060
1698;Longueur des branches:130mm,Largeur d'un verre:63mm,Largeur du pont:16mm,Largeur totale:272mm,Hauteur d'un verre:49.2mm,Matière:Métal,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
1462;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:45.5mm,Matière:Plastique,Forme:Rectangle,Genre:Homme,Couleur:Gris_606060
1526;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1706;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:50.3mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1470;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:50.1mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1653;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:22mm,Largeur totale:273mm,Hauteur d'un verre:47.9mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:gris_606060
1597;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:22mm,Largeur totale:273mm,Hauteur d'un verre:47.9mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:violet_660099
