ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité;Caractéristique
2157;0;Bulgari 0BV6105B 278/13;82,69;169;1;106.17;0BV6105B 278/13;3;30;8053672887440;10;Longueur des branches:140mm,Largeur d'un verre:62mm,Largeur du pont:16mm,Largeur totale:280mm,Hauteur d'un verre:57.7mm,Matière:Métal,Forme:Carré,Genre:Femme,Couleur:marron_582900
2158;0;Bulgari 0BV6105B 20148G;82,69;169;1;106.17;0BV6105B 20148G;3;30;8053672887457;10;Longueur des branches:140mm,Largeur d'un verre:62mm,Largeur du pont:16mm,Largeur totale:280mm,Hauteur d'un verre:57.7mm,Matière:Métal,Forme:Carré,Genre:Femme,Couleur:gris_606060
2159;0;Bulgari 0BV8206 545373;82,69;219;1;135.33;0BV8206 545373;3;30;8053672904222;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:46.8mm,Matière:Plastique,Forme:Ovale,Genre:Femme,Couleur:marron_582900
2160;0;Bulgari 0BV8204B 536213;82,69;219;1;135.33;0BV8204B 536213;3;30;8053672904130;10;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:271mm,Hauteur d'un verre:46mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:marron_582900
2161;0;Bulgari 0BV8205KB 5412T3;82,69;539;1;340;0BV8205KB 5412T3;3;30;8053672905212;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:20mm,Largeur totale:272mm,Hauteur d'un verre:51.4mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
2162;0;Bulgari 0BV6106B 20363B;82,69;219;1;135.33;0BV6106B 20363B;3;30;8053672904758;10;Longueur des branches:135mm,Largeur d'un verre:59mm,Largeur du pont:17mm,Largeur totale:270mm,Hauteur d'un verre:51.4mm,Matière:Métal,Forme:Ovale,Genre:Femme,Couleur:rose_FD6C9E
2163;0;Bulgari 0BV6109 20134Z;82,69;219;1;135.33;0BV6109 20134Z;3;30;8053672904925;10;Longueur des branches:140mm,Largeur d'un verre:62mm,Largeur du pont:16mm,Largeur totale:280mm,Hauteur d'un verre:51.9mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
2164;0;Bulgari 0BV6108 20144Z;82,69;219;1;135.33;0BV6108 20144Z;3;30;8053672902884;10;Longueur des branches:140mm,Largeur d'un verre:58mm,Largeur du pont:16mm,Largeur totale:272mm,Hauteur d'un verre:52.6mm,Matière:Métal,Forme:Ovale,Genre:Femme,Couleur:gris_606060
2165;0;Bulgari 0BV8207B 501/8G;82,69;219;1;135.33;0BV8207B 501/8G;3;30;8053672904154;10;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:270mm,Hauteur d'un verre:46mm,Matière:Plastique,Forme:Ovale,Genre:Femme,Couleur:gris_606060
2166;0;Bulgari 0BV8208 54564Z;82,69;219;1;135.33;0BV8208 54564Z;3;30;8053672904352;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:44.3mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
2167;0;Bulgari 0BV8208 545585;82,69;219;1;135.33;0BV8208 545585;3;30;8053672904376;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:44.3mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:jaune_FFFF00
2168;0;Bulgari 0BV5031TG 408887;82,68;1069;1;666.67;0BV5031TG 408887;3;30;8053672289954;10;Longueur des branches:140mm,Largeur d'un verre:58mm,Largeur du pont:17mm,Largeur totale:273mm,Hauteur d'un verre:43.6mm,Matière:Métal,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
2169;0;Bulgari 0BV7021 530987;82,68;169;1;106.17;0BV7021 530987;3;30;8053672322385;10;Longueur des branches:135mm,Largeur d'un verre:59mm,Largeur du pont:16mm,Largeur totale:269mm,Hauteur d'un verre:48.9mm,Matière:Plastique,Forme:Pilote,Genre:Homme,Couleur:gris_606060
